./tes# ./testIf GET InternetGatewayDevice.
out0 0 --> parameter = InternetGatewayDevice.ManagementServer.URL | value = http://10.64.16.14:9034/TR069ACS
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.3.EntryID | value = 3
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.3.Codec | value = G.729
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.3.PacketizationPeriod | value = 20
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.3.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.3.Enable | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.3.Priority | value = 3
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.2.EntryID | value = 2
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.2.Codec | value = G.711ALaw
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.2.PacketizationPeriod | value = 20
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.2.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.2.Enable | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.2.Priority | value = 2
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.1.EntryID | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.1.Codec | value = G.729a
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.1.PacketizationPeriod | value = 20
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.1.SilenceSuppression | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.1.Enable | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Codec.List.1.Priority | value = 1
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.ResetStatistics | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.PacketsSent | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.PacketsReceived | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.BytesSent | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.BytesReceived | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.PacketsLost | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.Overruns | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.Underruns | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.IncomingCallsReceived | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.IncomingCallsAnswered | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.IncomingCallsConnected | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.IncomingCallsFailed | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.OutgoingCallsAttempted | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.OutgoingCallsAnswered | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.OutgoingCallsConnected | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.OutgoingCallsFailed | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.ReceivePacketLossRate | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.FarEndPacketLossRate | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.ReceiveInterarrivalJitter | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.FarEndInterarrivalJitter | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.RoundTripDelay | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Stats.AverageReceiveInterarrivalJitter | value = 0
--> parameter = InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.VoiceProcessing.TransmitGain | value = 0
